Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Recovery category,day_of_week,Day of the week
2021-08-04 00:27:00,2021-08-04 23:12:58,UTC-04:00,50.0,37.0,79.0,12.2,2091.0,153.0,54.0,55.0,16.9,368.0,445.0,193.0,86.0,89.0,77.0,663.0,108.0,82.0,73.0,1,Wednesday,Wednesday
2021-08-02 22:22:13,2021-08-04 00:27:00,UTC-04:00,56.0,36.0,81.0,20.6,5021.0,190.0,72.0,65.0,16.2,429.0,547.0,222.0,115.0,92.0,118.0,658.0,117.0,80.0,67.0,1,Monday,Monday
2021-08-01 23:27:25,2021-08-02 22:22:13,UTC-04:00,42.0,35.0,72.0,18.4,3009.0,180.0,59.0,62.0,16.1,412.0,549.0,216.0,85.0,111.0,137.0,668.0,124.0,75.0,69.0,1,Sunday,Sunday
2021-07-31 23:22:36,2021-08-01 23:27:25,UTC-04:00,38.0,36.0,76.0,18.8,3583.0,176.0,63.0,48.0,16.3,322.0,442.0,171.0,100.0,51.0,120.0,669.0,115.0,75.0,72.0,1,Saturday,Saturday
2021-07-30 23:56:20,2021-07-31 23:22:36,UTC-04:00,61.0,35.0,87.0,20.4,3845.0,186.0,69.0,52.0,16.2,309.0,413.0,158.0,78.0,73.0,104.0,598.0,120.0,74.0,63.0,1,Friday,Friday
2021-07-30 00:24:12,2021-07-30 23:56:20,UTC-04:00,27.0,37.0,65.0,19.1,3760.0,174.0,67.0,50.0,16.6,313.0,427.0,127.0,87.0,99.0,114.0,626.0,136.0,73.0,67.0,0,Friday,Friday
2021-07-29 01:12:41,2021-07-30 00:24:12,UTC-04:00,60.0,36.0,90.0,16.1,2569.0,172.0,55.0,43.0,16.1,266.0,339.0,131.0,69.0,66.0,73.0,615.0,120.0,78.0,61.0,1,Thursday,Thursday
2021-07-27 23:45:15,2021-07-29 01:12:41,UTC-04:00,57.0,37.0,90.0,17.7,3210.0,178.0,64.0,50.0,16.9,311.0,389.0,220.0,62.0,29.0,78.0,627.0,115.0,79.0,76.0,1,Tuesday,Tuesday
2021-07-26 23:14:18,2021-07-27 23:45:15,UTC-04:00,52.0,37.0,83.0,18.9,3301.0,180.0,63.0,52.0,16.5,352.0,437.0,218.0,83.0,51.0,85.0,673.0,135.0,80.0,82.0,1,Monday,Monday
2021-07-25 22:50:24,2021-07-26 23:14:18,UTC-04:00,36.0,36.0,69.0,17.9,3118.0,179.0,62.0,56.0,16.6,356.0,474.0,234.0,83.0,39.0,118.0,636.0,92.0,76.0,77.0,1,Sunday,Sunday
2021-07-24 23:10:06,2021-07-25 22:50:24,UTC-04:00,75.0,36.0,95.0,18.7,3415.0,179.0,64.0,70.0,16.6,445.0,534.0,256.0,91.0,98.0,89.0,641.0,139.0,83.0,73.0,2,Saturday,Saturday
2021-07-23 23:40:26,2021-07-24 23:10:06,UTC-04:00,48.0,36.0,76.0,17.7,3182.0,175.0,65.0,55.0,16.5,357.0,425.0,154.0,99.0,104.0,68.0,646.0,110.0,85.0,76.0,1,Friday,Friday
2021-07-23 00:08:52,2021-07-23 23:40:26,UTC-04:00,36.0,36.0,71.0,19.5,3592.0,185.0,65.0,54.0,16.0,360.0,442.0,132.0,108.0,120.0,82.0,669.0,134.0,84.0,78.0,1,Friday,Friday
2021-07-21 23:45:51,2021-07-23 00:08:52,UTC-04:00,22.0,36.0,64.0,19.8,3589.0,183.0,67.0,44.0,16.3,292.0,389.0,103.0,71.0,118.0,97.0,659.0,112.0,75.0,85.0,0,Wednesday,Wednesday
2021-07-20 23:00:26,2021-07-21 23:45:51,UTC-04:00,38.0,37.0,77.0,19.1,3720.0,191.0,69.0,53.0,16.5,359.0,449.0,238.0,82.0,39.0,90.0,671.0,127.0,80.0,83.0,1,Tuesday,Tuesday
2021-07-19 23:28:14,2021-07-20 23:00:26,UTC-04:00,37.0,35.0,77.0,18.8,3794.0,175.0,71.0,47.0,16.1,307.0,383.0,181.0,53.0,73.0,76.0,660.0,117.0,82.0,85.0,1,Monday,Monday
2021-07-18 22:50:58,2021-07-19 23:28:14,UTC-04:00,35.0,36.0,73.0,18.6,3527.0,179.0,66.0,62.0,16.1,394.0,488.0,226.0,58.0,110.0,94.0,638.0,124.0,81.0,79.0,1,Sunday,Sunday
2021-07-17 23:27:28,2021-07-18 22:50:58,UTC-04:00,54.0,35.0,92.0,20.1,3992.0,178.0,69.0,48.0,16.5,314.0,398.0,181.0,61.0,72.0,84.0,661.0,120.0,78.0,79.0,1,Saturday,Saturday
2021-07-16 23:31:14,2021-07-17 23:27:28,UTC-04:00,48.0,36.0,82.0,18.3,3291.0,176.0,64.0,61.0,16.6,346.0,410.0,163.0,59.0,124.0,64.0,566.0,98.0,84.0,70.0,1,Friday,Friday
2021-07-15 22:56:28,2021-07-16 23:31:14,UTC-04:00,46.0,36.0,81.0,17.8,2852.0,181.0,58.0,59.0,16.7,390.0,514.0,231.0,66.0,93.0,124.0,665.0,114.0,75.0,87.0,1,Thursday,Thursday
2021-07-14 22:32:41,2021-07-15 22:56:28,UTC-04:00,47.0,37.0,86.0,19.9,3771.0,187.0,69.0,63.0,17.1,406.0,502.0,244.0,67.0,95.0,96.0,645.0,100.0,80.0,84.0,1,Wednesday,Wednesday
2021-07-13 23:16:11,2021-07-14 22:32:41,UTC-04:00,49.0,37.0,88.0,18.8,3416.0,181.0,68.0,58.0,16.5,378.0,463.0,243.0,67.0,68.0,85.0,658.0,105.0,81.0,82.0,1,Tuesday,Tuesday
2021-07-12 22:54:52,2021-07-13 23:16:11,UTC-04:00,27.0,35.0,51.0,20.0,4116.0,181.0,71.0,56.0,15.3,362.0,473.0,279.0,46.0,37.0,111.0,645.0,108.0,76.0,72.0,0,Monday,Monday
2021-07-12 00:06:06,2021-07-12 22:54:52,UTC-04:00,40.0,35.0,66.0,17.7,2553.0,190.0,55.0,55.0,16.1,345.0,496.0,171.0,84.0,90.0,151.0,628.0,103.0,70.0,67.0,1,Monday,Monday
2021-07-10 23:37:36,2021-07-12 00:06:06,UTC-04:00,49.0,36.0,82.0,16.2,3011.0,169.0,64.0,57.0,16.6,361.0,425.0,236.0,72.0,53.0,64.0,633.0,92.0,86.0,73.0,1,Saturday,Saturday
2021-07-09 22:09:29,2021-07-10 23:37:36,UTC-04:00,59.0,38.0,93.0,18.3,3651.0,181.0,67.0,70.0,17.2,402.0,500.0,237.0,69.0,96.0,98.0,572.0,88.0,82.0,78.0,1,Friday,Friday
2021-07-08 22:53:16,2021-07-09 22:09:29,UTC-04:00,69.0,38.0,114.0,19.9,3545.0,186.0,64.0,63.0,15.9,370.0,475.0,275.0,70.0,25.0,105.0,583.0,74.0,79.0,78.0,2,Thursday,Thursday
2021-07-07 22:50:05,2021-07-08 22:53:16,UTC-04:00,93.0,36.0,154.0,17.7,2885.0,181.0,60.0,69.0,16.1,360.0,444.0,295.0,15.0,50.0,84.0,521.0,0.0,81.0,78.0,2,Wednesday,Wednesday
